match,match_ID,teamInnings,battingPos,batsmanName,Out/Not Out,runs,balls,4s,6s,SR
South Africa VS West Indies,Test # 2495,Innings 1,10,Gerald Coetzee ,Out,17,12,3,0,141.66
South Africa VS West Indies,Test # 2495,Innings 1,11,Anrich Nortje ,Out,14,11,3,0,127.27
South Africa VS West Indies,Test # 2495,Innings 2,1,Kraigg Brathwaite (c),Out,11,25,1,0,44.00
South Africa VS West Indies,Test # 2495,Innings 2,2,Tagenarine Chanderpaul ,Out,22,48,4,0,45.83
South Africa VS West Indies,Test # 2495,Innings 2,3,Raymon Reifer ,Out,62,143,7,0,43.35
South Africa VS West Indies,Test # 2495,Innings 2,4,Jermaine Blackwood ,Out,37,73,6,0,50.68
South Africa VS West Indies,Test # 2495,Innings 2,5,Roston Chase ,Out,22,56,2,0,39.28
South Africa VS West Indies,Test # 2495,Innings 2,6,Kyle Mayers ,Out,18,22,2,1,81.81
South Africa VS West Indies,Test # 2495,Innings 2,7,Joshua Da Silva †,Out,4,7,0,0,57.14
South Africa VS West Indies,Test # 2495,Innings 2,8,Jason Holder ,Out,0,3,0,0,0.00
South Africa VS West Indies,Test # 2495,Innings 2,9,Alzarri Joseph ,Out,4,5,1,0,80.00
South Africa VS West Indies,Test # 2495,Innings 2,10,Kemar Roach ,Not Out,4,19,0,0,21.05
South Africa VS West Indies,Test # 2495,Innings 2,11,Shannon Gabriel ,Out,7,16,0,1,43.75
India VS Australia,Test # 2496,Innings 1,1,Rohit Sharma (c),Out,12,23,3,0,52.17
India VS Australia,Test # 2496,Innings 1,2,Shubman Gill ,Out,21,18,3,0,116.66
India VS Australia,Test # 2496,Innings 1,3,Cheteshwar Pujara ,Out,1,4,0,0,25.00
India VS Australia,Test # 2496,Innings 1,4,Virat Kohli ,Out,22,52,2,0,42.30
India VS Australia,Test # 2496,Innings 1,5,Ravindra Jadeja ,Out,4,9,0,0,44.44
India VS Australia,Test # 2496,Innings 1,6,Shreyas Iyer ,Out,0,2,0,0,0.00
India VS Australia,Test # 2496,Innings 1,7,Srikar Bharat †,Out,17,30,1,1,56.66
India VS Australia,Test # 2496,Innings 1,8,Axar Patel ,Not Out,12,33,1,0,36.36
India VS Australia,Test # 2496,Innings 1,9,Ravichandran Ashwin ,Out,3,12,0,0,25.00
India VS Australia,Test # 2496,Innings 1,10,Umesh Yadav ,Out,17,13,1,2,130.76
India VS Australia,Test # 2496,Innings 1,11,Mohammed Siraj ,Out,0,4,0,0,0.00
India VS Australia,Test # 2496,Innings 2,1,Travis Head ,Out,9,6,1,0,150.00
India VS Australia,Test # 2496,Innings 2,2,Usman Khawaja ,Out,60,147,4,0,40.81
India VS Australia,Test # 2496,Innings 2,3,Marnus Labuschagne ,Out,31,91,1,0,34.06
India VS Australia,Test # 2496,Innings 2,4,Steven Smith (c),Out,26,38,4,0,68.42
India VS Australia,Test # 2496,Innings 2,5,Peter Handscomb ,Out,19,98,1,0,19.38
India VS Australia,Test # 2496,Innings 2,6,Cameron Green ,Out,21,57,2,0,36.84
India VS Australia,Test # 2496,Innings 2,7,Alex Carey †,Out,3,7,0,0,42.85
India VS Australia,Test # 2496,Innings 2,8,Mitchell Starc ,Out,1,3,0,0,33.33
India VS Australia,Test # 2496,Innings 2,9,Nathan Lyon ,Out,5,8,1,0,62.50
India VS Australia,Test # 2496,Innings 2,10,Todd Murphy ,Out,0,6,0,0,0.00
India VS Australia,Test # 2496,Innings 2,11,Matthew Kuhnemann ,Not Out,0,3,0,0,0.00
South Africa VS West Indies,Test # 2497,Innings 1,1,Dean Elgar ,Out,42,54,7,0,77.77
South Africa VS West Indies,Test # 2497,Innings 1,2,Aiden Markram ,Out,96,139,17,0,69.06
South Africa VS West Indies,Test # 2497,Innings 1,3,Tony de Zorzi ,Out,85,155,11,0,54.83
South Africa VS West Indies,Test # 2497,Innings 1,4,Temba Bavuma (c),Out,28,64,3,0,43.75
South Africa VS West Indies,Test # 2497,Innings 1,5,Ryan Rickelton ,Out,22,49,3,0,44.89
South Africa VS West Indies,Test # 2497,Innings 1,6,Heinrich Klaasen †,Out,17,45,1,0,37.77
South Africa VS West Indies,Test # 2497,Innings 1,7,Wiaan Mulder ,Out,12,30,1,0,40.00
South Africa VS West Indies,Test # 2497,Innings 1,8,Simon Harmer ,Out,1,5,0,0,20.00
South Africa VS West Indies,Test # 2497,Innings 1,9,Keshav Maharaj ,Out,1,7,0,0,14.28
South Africa VS West Indies,Test # 2497,Innings 1,10,Gerald Coetzee ,Out,1,4,0,0,25.00
South Africa VS West Indies,Test # 2497,Innings 1,11,Kagiso Rabada ,Not Out,6,5,1,0,120.00
South Africa VS West Indies,Test # 2497,Innings 2,1,Kraigg Brathwaite (c),Out,17,42,3,0,40.47
South Africa VS West Indies,Test # 2497,Innings 2,2,Tagenarine Chanderpaul ,Out,1,8,0,0,12.50
South Africa VS West Indies,Test # 2497,Innings 2,3,Raymon Reifer ,Out,15,34,3,0,44.11
South Africa VS West Indies,Test # 2497,Innings 2,4,Jermaine Blackwood ,Out,6,6,1,0,100.00
South Africa VS West Indies,Test # 2497,Innings 2,5,Roston Chase ,Out,28,53,3,1,52.83
South Africa VS West Indies,Test # 2497,Innings 2,6,Kyle Mayers ,Out,29,83,4,0,34.93
South Africa VS West Indies,Test # 2497,Innings 2,7,Joshua Da Silva †,Out,26,63,4,0,41.26
South Africa VS West Indies,Test # 2497,Innings 2,8,Jason Holder ,Not Out,81,117,8,4,69.23
South Africa VS West Indies,Test # 2497,Innings 2,9,Alzarri Joseph ,Out,4,7,1,0,57.14
South Africa VS West Indies,Test # 2497,Innings 2,10,Kemar Roach ,Out,13,27,1,1,48.14
South Africa VS West Indies,Test # 2497,Innings 2,11,Gudakesh Motie ,Out,17,40,3,0,42.50
New Zealand VS Sri Lanka,Test # 2498,Innings 1,1,Oshada Fernando ,Out,13,31,2,0,41.93
New Zealand VS Sri Lanka,Test # 2498,Innings 1,2,Dimuth Karunaratne (c),Out,50,87,7,0,57.47
New Zealand VS Sri Lanka,Test # 2498,Innings 1,3,Kusal Mendis ,Out,87,83,16,0,104.81
New Zealand VS Sri Lanka,Test # 2498,Innings 1,4,Angelo Mathews ,Out,47,98,6,1,47.95
New Zealand VS Sri Lanka,Test # 2498,Innings 1,5,Dinesh Chandimal ,Out,39,64,6,0,60.93
New Zealand VS Sri Lanka,Test # 2498,Innings 1,6,Dhananjaya de Silva ,Out,46,59,5,1,77.96
New Zealand VS Sri Lanka,Test # 2498,Innings 1,7,Niroshan Dickwella †,Out,7,13,1,0,53.84
New Zealand VS Sri Lanka,Test # 2498,Innings 1,8,Kasun Rajitha ,Out,22,39,4,0,56.41
New Zealand VS Sri Lanka,Test # 2498,Innings 1,9,Prabath Jayasuriya ,Out,13,40,0,0,32.50
New Zealand VS Sri Lanka,Test # 2498,Innings 1,10,Lahiru Kumara ,Not Out,13,32,2,0,40.62
New Zealand VS Sri Lanka,Test # 2498,Innings 1,11,Asitha Fernando ,Out,10,10,2,0,100.00
New Zealand VS Sri Lanka,Test # 2498,Innings 2,1,Tom Latham ,Out,67,144,7,0,46.52
New Zealand VS Sri Lanka,Test # 2498,Innings 2,2,Devon Conway ,Out,30,88,2,0,34.09
New Zealand VS Sri Lanka,Test # 2498,Innings 2,3,Kane Williamson ,Out,1,11,0,0,9.09
New Zealand VS Sri Lanka,Test # 2498,Innings 2,4,Henry Nicholls ,Out,2,6,0,0,33.33
New Zealand VS Sri Lanka,Test # 2498,Innings 2,5,Daryl Mitchell ,Out,102,193,6,2,52.84
New Zealand VS Sri Lanka,Test # 2498,Innings 2,6,Tom Blundell †,Out,7,22,0,0,31.81
New Zealand VS Sri Lanka,Test # 2498,Innings 2,7,Michael Bracewell ,Out,25,57,2,0,43.85
New Zealand VS Sri Lanka,Test # 2498,Innings 2,8,Tim Southee (c),Out,25,20,3,1,125.00
New Zealand VS Sri Lanka,Test # 2498,Innings 2,9,Matt Henry ,Out,72,75,10,3,96.00
New Zealand VS Sri Lanka,Test # 2498,Innings 2,10,Neil Wagner ,Out,27,24,1,3,112.50
New Zealand VS Sri Lanka,Test # 2498,Innings 2,11,Blair Tickner ,Not Out,2,5,0,0,40.00
India VS Australia,Test # 2499,Innings 1,1,Travis Head ,Out,32,44,7,0,72.72
India VS Australia,Test # 2499,Innings 1,2,Usman Khawaja ,Out,180,422,21,0,42.65
India VS Australia,Test # 2499,Innings 1,3,Marnus Labuschagne ,Out,3,20,0,0,15.00
India VS Australia,Test # 2499,Innings 1,4,Steven Smith (c),Out,38,135,3,0,28.14
India VS Australia,Test # 2499,Innings 1,5,Peter Handscomb ,Out,17,27,3,0,62.96
India VS Australia,Test # 2499,Innings 1,6,Cameron Green ,Out,114,170,18,0,67.05
India VS Australia,Test # 2499,Innings 1,7,Alex Carey †,Out,0,4,0,0,0.00
India VS Australia,Test # 2499,Innings 1,8,Mitchell Starc ,Out,6,20,0,0,30.00
India VS Australia,Test # 2499,Innings 1,9,Nathan Lyon ,Out,34,96,6,0,35.41
India VS Australia,Test # 2499,Innings 1,10,Todd Murphy ,Out,41,61,5,0,67.21
India VS Australia,Test # 2499,Innings 1,11,Matthew Kuhnemann ,Not Out,0,7,0,0,0.00
India VS Australia,Test # 2499,Innings 2,1,Rohit Sharma (c),Out,35,58,3,1,60.34
India VS Australia,Test # 2499,Innings 2,2,Shubman Gill ,Out,128,235,12,1,54.46
India VS Australia,Test # 2499,Innings 2,3,Cheteshwar Pujara ,Out,42,121,3,0,34.71
India VS Australia,Test # 2499,Innings 2,4,Virat Kohli ,Out,186,364,15,0,51.09
India VS Australia,Test # 2499,Innings 2,5,Ravindra Jadeja ,Out,28,84,2,1,33.33
India VS Australia,Test # 2499,Innings 2,6,Srikar Bharat †,Out,44,88,2,3,50.00
India VS Australia,Test # 2499,Innings 2,7,Axar Patel ,Out,79,113,5,4,69.91
