match,match_ID,teamInnings,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
New Zealand VS Sri Lanka,Test # 2500,Innings 1,Asitha Fernando,26,6,110,0,4.23,113,14,2,2,1
New Zealand VS Sri Lanka,Test # 2500,Innings 1,Lahiru Kumara,25,1,164,0,6.56,79,19,3,3,0
New Zealand VS Sri Lanka,Test # 2500,Innings 1,Dhananjaya de Silva,19,3,75,1,3.94,65,6,0,0,1
New Zealand VS Sri Lanka,Test # 2500,Innings 1,Prabath Jayasuriya,21,1,86,1,4.09,70,4,1,0,0
New Zealand VS Sri Lanka,Test # 2500,Innings 2,Tim Southee,15,6,22,1,1.46,76,1,0,0,0
New Zealand VS Sri Lanka,Test # 2500,Innings 2,Matt Henry,20,6,44,3,2.20,99,5,0,1,0
New Zealand VS Sri Lanka,Test # 2500,Innings 2,Doug Bracewell,12,7,19,1,1.58,63,2,0,0,1
New Zealand VS Sri Lanka,Test # 2500,Innings 2,Michael Bracewell,12,1,50,3,4.16,49,7,0,0,0
New Zealand VS Sri Lanka,Test # 2500,Innings 2,Blair Tickner,6.5,1,21,1,3.07,29,2,0,0,0
New Zealand VS Sri Lanka,Test # 2500,Innings 2,Daryl Mitchell,1,0,3,0,3.00,4,0,0,0,0
Bangladesh VS Ireland,Test # 2501,Innings 1,Shoriful Islam,8,1,22,1,2.75,36,2,0,0,0
Bangladesh VS Ireland,Test # 2501,Innings 1,Khaled Ahmed,9,1,29,0,3.22,41,4,0,0,3
Bangladesh VS Ireland,Test # 2501,Innings 1,Ebadot Hossain,12,0,54,2,4.50,45,7,0,0,0
Bangladesh VS Ireland,Test # 2501,Innings 1,Taijul Islam,28,10,58,5,2.07,141,7,1,0,0
Bangladesh VS Ireland,Test # 2501,Innings 1,Mehidy Hasan Miraz,17.2,4,43,2,2.48,82,3,1,0,0
Bangladesh VS Ireland,Test # 2501,Innings 1,Shakib Al Hasan,3,1,8,0,2.66,15,0,1,0,0
Bangladesh VS Ireland,Test # 2501,Innings 2,Mark Adair,17,2,64,2,3.76,76,8,1,2,2
Bangladesh VS Ireland,Test # 2501,Innings 2,Graham Hume,11,2,37,0,3.36,50,7,0,0,0
Bangladesh VS Ireland,Test # 2501,Innings 2,Andy McBrine,28,2,118,6,4.21,109,13,3,0,0
